,Value
2024-10-11,250754.0838256701
2024-10-14,250854.06395332827
2024-10-15,250390.75502912744
2024-10-16,249110.7043143321
2024-10-17,249097.70561720352
2024-10-18,249304.9535806377
2024-10-21,249244.96613769833
2024-10-22,250089.69568202266
2024-10-23,249598.03880698953
2024-10-24,249738.44686040474
2024-10-25,249811.4696452254
2024-10-28,250389.77660063424
2024-10-29,251027.925259997
2024-10-30,251150.90486980855
2024-10-31,252334.81180190554
2024-11-01,251637.1462323984
2024-11-04,252404.0223318845
2024-11-05,252261.2075623111
2024-11-06,252775.77143549596
2024-11-07,254306.2527698307
2024-11-08,254191.3725524897
2024-11-11,254574.0697904212
2024-11-12,255261.60422843773
2024-11-13,254615.8983242463
2024-11-14,254527.28109333335
2024-11-18,253827.3348244577
2024-11-19,253444.3441132637
2024-11-21,253298.81973275973
2024-11-22,254034.82221086914
2024-11-25,254347.7161794659
2024-11-26,254288.29498610907
2024-11-27,253748.25654114966
2024-11-28,253258.72940262448
2024-11-29,253700.98375026562
2024-12-02,255113.55397739325
2024-12-03,254621.09905189558
2024-12-04,255148.46145657
2024-12-05,256405.07256127414
2024-12-06,256444.5902611732
2024-12-09,256024.79214368868
2024-12-10,256538.0036388591
2024-12-11,256648.91208950905
2024-12-12,257245.8461318484
2024-12-13,259718.74824181988
2024-12-16,261207.94342967987
2024-12-17,258894.0281065133
2024-12-18,257395.35710193764
2024-12-19,256412.62266202088
2024-12-20,256406.49297439892
2024-12-23,256046.53033100546
2024-12-24,256093.23580365753
2024-12-26,256226.70278269908
2024-12-27,255790.4486782205
2024-12-30,256519.82884479768
2024-12-31,256427.16116810605
2025-01-01,256272.5462641975
2025-01-02,256709.94021322983
2025-01-03,256269.59536712535
2025-01-06,256801.62393494076
2025-01-07,257162.34663408942
2025-01-08,257738.7566537204
2025-01-09,258195.19465846
2025-01-10,258635.3317356367
2025-01-13,259639.35912845974
2025-01-14,260419.5553732526
2025-01-15,261199.55211226532
2025-01-16,262472.2999677843
2025-01-17,262260.29459330934
2025-01-20,263072.0356404389
2025-01-21,264606.7326922326
2025-01-22,265492.7783421846
2025-01-23,265141.68088646856
